snapshot_id,fetched_at_utc,gameweek_id,gameweek,player_id,Player,Display_Name,Team,Team_Short,Position,Age,Minutes,Starts,Cost_M,Selected_By_%,Goals,Assists,Expected_Goals,Expected_Assists,Expected_Goal_Involvements,creativity,threat,influence,ict_index,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution,bonus,bps,Form,Total_Points,Status,News,prev_minutes,prev_goals,prev_assists,prev_xgi,prev_form,GW_Minutes,GW_Goals,GW_Assists,GW_xGI,Goals_p90,Assists_p90,xG_p90,xA_p90,xGI_p90,Creativity_p90,Threat_p90,Influence_p90,ICT_p90,DefActions_p90,Bonus_p90,BPS_p90,GW_Goals_p90,GW_Assists_p90,GW_xGI_p90,Rolling_Form_Last5,Rolling_xGI_p90_Last5,recency_rank
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,426,Bruno Borges Fernandes,B.Fernandes,Man Utd,MUN,MID,31,180,2,12.0,47.9,3,1,2.1,0.74,2.84,55.4,17.0,20.2,9.3,2.0,10.0,2.0,14.0,3.0,105.0,12.5,25,a,,,,,,,180,3,1,2.84,1.5,0.5,1.05,0.37,1.42,27.7,8.5,10.1,4.65,14.0,1.5,52.5,1.5,0.5,1.42,12.5,1.42,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,165,João Pedro Junqueira de Jesus,João Pedro,Chelsea,CHE,FWD,24,180,2,7.6,69.6,2,2,1.86,0.1,1.96,23.0,37.0,51.2,11.1,1.0,4.0,1.0,6.0,4.0,89.0,10.0,20,a,,,,,,,180,2,2,1.96,1.0,1.0,0.93,0.05,0.98,11.5,18.5,25.6,5.55,6.0,2.0,44.5,1.0,1.0,0.98,10.0,0.98,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,411,Erling Haaland,Haaland,Man City,MCI,FWD,26,180,2,15.5,69.8,2,0,1.4,0.02,1.42,5.2,50.0,3.8,5.9,0.0,5.0,3.0,8.0,3.0,66.0,7.5,15,a,,,,,,,180,2,0,1.42,1.0,0.0,0.7,0.01,0.71,2.6,25.0,1.9,2.95,8.0,1.5,33.0,1.0,0.0,0.71,7.5,0.71,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,124,Pascal Groß,Groß,Brighton,BHA,MID,35,180,2,5.5,13.5,1,1,0.05,0.38,0.43,56.9,8.0,21.0,8.6,4.0,5.0,2.0,11.0,3.0,64.0,7.5,15,a,,,,,,,180,1,1,0.43,0.5,0.5,0.025,0.19,0.215,28.45,4.0,10.5,4.3,11.0,1.5,32.0,0.5,0.5,0.215,7.5,0.215,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,427,Bryan Mbeumo,Mbeumo,Man Utd,MUN,MID,27,180,2,8.0,31.7,1,1,2.26,0.44,2.7,28.1,49.0,9.6,8.7,3.0,6.0,0.0,9.0,2.0,49.0,6.5,13,a,,,,,,,180,1,1,2.7,0.5,0.5,1.13,0.22,1.35,14.05,24.5,4.8,4.35,9.0,1.0,24.5,0.5,0.5,1.35,6.5,1.35,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,480,Morgan Gibbs-White,Gibbs-White,Nott'm Forest,NFO,MID,26,180,2,7.9,8.8,1,1,0.92,0.1,1.02,9.3,16.0,0.0,2.4,2.0,4.0,2.0,8.0,3.0,46.0,7.5,15,a,,,,,,,180,1,1,1.02,0.5,0.5,0.46,0.05,0.51,4.65,8.0,0.0,1.2,8.0,1.5,23.0,0.5,0.5,0.51,7.5,0.51,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,26,Kai Havertz,Havertz,Arsenal,ARS,FWD,27,180,2,7.5,7.4,1,0,0.3,0.06,0.36,13.2,25.0,37.2,7.5,0.0,5.0,2.0,7.0,0.0,39.0,4.0,8,a,,,,,,,180,1,0,0.36,0.5,0.0,0.15,0.03,0.18,6.6,12.5,18.6,3.75,7.0,0.0,19.5,0.5,0.0,0.18,4.0,0.18,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,68,Marcus Tavernier,Tavernier,Bournemouth,BOU,MID,27,180,2,6.0,2.4,1,0,0.49,0.29,0.78,17.2,18.0,40.0,7.5,6.0,10.0,3.0,19.0,3.0,52.0,5.5,11,a,,,,,,,180,1,0,0.78,0.5,0.0,0.245,0.145,0.39,8.6,9.0,20.0,3.75,19.0,1.5,26.0,0.5,0.0,0.39,5.5,0.39,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,98,Vitaly Janelt,Janelt,Brentford,BRE,MID,28,180,2,5.0,0.6,1,0,0.39,0.31,0.7,38.8,24.0,53.2,11.6,7.0,5.0,11.0,23.0,0.0,46.0,5.0,10,a,,,,,,,180,1,0,0.7,0.5,0.0,0.195,0.155,0.35,19.4,12.0,26.6,5.8,23.0,0.0,23.0,0.5,0.0,0.35,5.0,0.35,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,229,James Tarkowski,Tarkowski,Everton,EVE,DEF,33,180,2,6.0,9.9,1,0,0.15,0.01,0.16,0.8,4.0,15.2,2.0,2.0,7.0,17.0,19.0,2.0,52.0,9.0,18,a,,,,,,,180,1,0,0.16,0.5,0.0,0.075,0.005,0.08,0.4,2.0,7.6,1.0,22.5,1.0,26.0,0.5,0.0,0.08,9.0,0.08,1
